resources\maps\defaultmap.png,26
resources\maps\map_3.png,37
resources\maps\map_8.png,126
resources\maps\map_9.png,106
resources\maps\map_2.png,25
resources\maps\map_7.png,60
resources\maps\map_4.png,65
resources\maps\map_5.png,108
resources\maps\map_6.png,65
resources\maps\map_1.png,28
resources\maps\map_last.png,42
